#{"t_start": 1629966016.1412914, "env_id": "ShipNav-v7"}
r,l,t
-2.40965,3000,643.567632
-2.731093,3000,1276.811081
-5.163159,289,1477.179305
-5.578075,979,1583.250227
-5.231565,343,1763.587138
-5.463217,750,1850.389744
-5.384491,749,2037.493981
-5.233859,337,2073.473728
-5.168558,300,2105.217954
-2.622319,3000,2925.658554
-2.391558,3000,3586.855417
-2.852829,3000,4124.183203
-6.822833,2659,4824.836032
-5.644912,1078,4947.144234
-6.538025,2828,5813.903649
0.8214,457,5872.440264
-5.537743,744,6066.89299
-5.440764,636,6151.031759
-6.720588,2763,6820.808017
-5.166225,258,7001.779638
-2.481764,3000,7709.605626
-2.974296,3000,8343.479831
-5.37195,797,8586.330068
-2.725787,3000,9329.317193
-2.499789,3000,10223.726999
-2.534753,3000,10932.184355
-5.452143,679,11179.42401
-2.348019,3000,11959.465439
-5.396067,598,12237.483841
-2.630217,3000,12903.44793
-5.33328,458,12982.666949
-5.517053,917,13286.303753
-2.3879,3000,14130.423417
-2.585787,3000,14899.465973
-6.368335,2847,15634.797362
-2.468117,3000,16533.93719
-5.250484,484,16599.32197
-2.523951,3000,17511.30377
-2.35475,3000,18395.270832
-2.234233,3000,19126.933347
-2.405675,3000,19952.017158
-2.337632,3000,20679.784676
-2.2397,3000,21420.468202
-5.236185,342,21679.025697
0.786742,496,21739.024784
-2.26825,3000,22577.336023
-2.351252,3000,23299.812653
-5.246219,337,23337.482229
0.900683,248,23381.177571
-2.203533,3000,24294.106883
-2.141175,3000,25027.308223
-2.204367,3000,25929.117496
0.820156,292,25967.303784
-2.183767,3000,26639.410473
-2.279414,3000,27474.331678
0.843258,401,27533.127455
0.670592,841,27889.696301
-2.135933,3000,28614.401677
-2.389367,3000,29286.988518
-2.155383,3000,30125.326362
-2.218579,3000,30904.341739
-2.153517,3000,31846.163751
0.244333,1777,32296.242919
-2.24115,3000,33104.747507
-2.31732,3000,34008.69322
-2.112183,3000,34846.575317
-2.360522,3000,35784.340829
-2.555908,3000,36512.35717
-2.435608,3000,37305.218283
0.366917,1559,37827.627609
-2.110675,3000,38602.938742
-2.552408,3000,39253.750976
-2.170983,3000,40192.890764
-2.095333,3000,40977.754939
-2.246375,3000,41885.343623
-2.087383,3000,42562.478264
-2.310421,3000,43269.881288
-5.134875,214,43523.114504
-2.511717,3000,44095.532712
-2.41131,3000,44861.059194
-2.180567,3000,45653.021513
0.323425,1827,46064.264626
-2.171358,3000,46953.014142
-5.531685,1257,47284.122606
-2.098042,3000,48018.109324
-5.346515,670,48222.961421
-5.476505,1165,48550.476252
-2.359374,3000,49227.924078
-5.211268,372,49273.941849
-2.341084,3000,50249.360852
-2.139233,3000,51010.872727
-5.205698,307,51039.636748
-2.102925,3000,51985.07222
-2.093675,3000,52620.157567
-2.063192,3000,53499.462651
-2.053775,3000,54282.515425
-2.076358,3000,54941.490807
-2.088925,3000,55887.62498
-5.151525,242,55920.240768
-2.410423,3000,56723.230744
-2.279388,3000,57572.795406
-2.142175,3000,58239.832918
-2.354833,3000,59199.782288
-2.07855,3000,59833.103506
-2.216144,3000,60607.030844
-2.067625,3000,61508.55802
-5.525849,737,61626.002379
-2.137642,3000,62325.098488
-2.667826,3000,62991.104387
-2.13985,3000,63785.235228
0.876425,361,63836.956472
-5.223417,394,63900.901674
-5.338219,580,64088.524447
-2.155941,3000,64925.297842
-2.095117,3000,65702.478698
-2.119433,3000,66516.56047
-2.112225,3000,67230.970151
-2.258925,3000,68044.937906
-2.138267,3000,68855.797544
0.785917,433,68915.690566
